 0.00	0.00001	      1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
 0.00	0.00050	      1	0.0002	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000
 0.00	0.00100	      1	0.0006	0.0010	0.0010	0.0000	0.0014	0.0006	0.0000	0.0000	0.0001
 0.00	0.00500	      1	0.0044	0.0056	0.0056	0.0000	0.0070	0.0040	0.0021	0.0000	0.0044
 0.00	0.01000	      1	0.0102	0.0097	0.0097	0.0000	0.0161	0.0104	0.0056	0.0000	0.0070
 0.00	0.05000	      1	0.0484	0.0510	0.0510	0.0000	0.0709	0.0476	0.0234	0.0000	0.0381
 0.00	0.10000	      1	0.1031	0.1021	0.1021	0.0766	0.1245	0.1009	0.0508	0.0515	0.0709
 0.00	0.50000	      1	0.5044	0.5115	0.5115	0.5470	0.4481	0.4966	0.2575	0.6242	0.5822
 0.00	0.00001	     10	0.0000	0.0001	0.0001	0.0000	0.0002	0.0001	0.0000	0.0000	0.0002
 0.00	0.00050	     10	0.0004	0.0005	0.0006	0.0003	0.0011	0.0011	0.0002	0.0005	0.0009
 0.00	0.00100	     10	0.0011	0.0010	0.0010	0.0004	0.0016	0.0013	0.0006	0.0012	0.0012
 0.00	0.00500	     10	0.0062	0.0050	0.0057	0.0029	0.0073	0.0049	0.0017	0.0043	0.0047
 0.00	0.01000	     10	0.0129	0.0103	0.0099	0.0066	0.0129	0.0098	0.0057	0.0090	0.0093
 0.00	0.05000	     10	0.0546	0.0474	0.0504	0.0451	0.0539	0.0493	0.0216	0.0497	0.0489
 0.00	0.10000	     10	0.1040	0.0959	0.1011	0.0961	0.1016	0.0971	0.0500	0.1009	0.0981
 0.00	0.50000	     10	0.5032	0.4940	0.4976	0.5018	0.4843	0.4972	0.2449	0.5081	0.5048
 0.00	0.00001	    100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
 0.00	0.00050	    100	0.0004	0.0004	0.0005	0.0003	0.0005	0.0005	0.0004	0.0004	0.0005
 0.00	0.00100	    100	0.0006	0.0012	0.0010	0.0005	0.0009	0.0006	0.0005	0.0008	0.0008
 0.00	0.00500	    100	0.0046	0.0045	0.0035	0.0038	0.0043	0.0041	0.0021	0.0056	0.0045
 0.00	0.01000	    100	0.0086	0.0086	0.0087	0.0075	0.0097	0.0109	0.0035	0.0100	0.0094
 0.00	0.05000	    100	0.0499	0.0448	0.0433	0.0425	0.0441	0.0485	0.0201	0.0480	0.0494
 0.00	0.10000	    100	0.0973	0.0897	0.0888	0.0902	0.0896	0.1009	0.0431	0.0987	0.0971
 0.00	0.50000	    100	0.5015	0.4903	0.4928	0.4907	0.4889	0.5040	0.2459	0.5047	0.4980
 0.00	0.00001	   1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
 0.00	0.00050	   1000	0.0006	0.0007	0.0005	0.0005	0.0004	0.0016	0.0002	0.0011	0.0007
 0.00	0.00100	   1000	0.0011	0.0010	0.0008	0.0010	0.0008	0.0020	0.0003	0.0017	0.0015
 0.00	0.00500	   1000	0.0063	0.0046	0.0049	0.0038	0.0041	0.0059	0.0028	0.0055	0.0050
 0.00	0.01000	   1000	0.0112	0.0090	0.0088	0.0082	0.0085	0.0114	0.0049	0.0101	0.0098
 0.00	0.05000	   1000	0.0504	0.0438	0.0440	0.0406	0.0399	0.0510	0.0196	0.0452	0.0487
 0.00	0.10000	   1000	0.1035	0.0948	0.0883	0.0901	0.0837	0.1005	0.0438	0.0954	0.0959
 0.00	0.50000	   1000	0.5039	0.4814	0.4623	0.4720	0.4594	0.5169	0.2326	0.5051	0.5034
