 0.00	0.00001	      1	0.0000	0.0000	0.0000	0.0010	0.0070	0.0002	0.0000	0.0000	0.0062
 0.00	0.00050	      1	0.0004	0.0002	0.0002	0.0127	0.0187	0.0004	0.0002	0.0091	0.0172
 0.00	0.00100	      1	0.0008	0.0005	0.0005	0.0178	0.0223	0.0005	0.0002	0.0127	0.0187
 0.00	0.00500	      1	0.0038	0.0033	0.0033	0.0366	0.0353	0.0036	0.0016	0.0274	0.0293
 0.00	0.01000	      1	0.0073	0.0099	0.0099	0.0500	0.0433	0.0078	0.0031	0.0366	0.0353
 0.00	0.05000	      1	0.0462	0.0507	0.0507	0.1012	0.0821	0.0501	0.0271	0.0790	0.0622
 0.00	0.10000	      1	0.0969	0.1004	0.1004	0.1296	0.1061	0.0971	0.0507	0.1012	0.0821
 0.00	0.50000	      1	0.4920	0.4960	0.4960	0.2780	0.2472	0.4882	0.2435	0.3415	0.1786
 0.00	0.00001	     10	0.0000	0.0001	0.0000	0.0002	0.0012	0.0000	0.0000	0.0002	0.0008
 0.00	0.00050	     10	0.0004	0.0006	0.0004	0.0022	0.0043	0.0009	0.0003	0.0015	0.0032
 0.00	0.00100	     10	0.0009	0.0007	0.0009	0.0040	0.0060	0.0012	0.0004	0.0022	0.0043
 0.00	0.00500	     10	0.0053	0.0042	0.0042	0.0112	0.0142	0.0043	0.0018	0.0071	0.0094
 0.00	0.01000	     10	0.0090	0.0077	0.0070	0.0182	0.0219	0.0089	0.0040	0.0112	0.0142
 0.00	0.05000	     10	0.0507	0.0441	0.0448	0.0559	0.0613	0.0480	0.0201	0.0360	0.0396
 0.00	0.10000	     10	0.0990	0.0948	0.0942	0.1008	0.1001	0.0922	0.0448	0.0790	0.0642
 0.00	0.50000	     10	0.5010	0.4899	0.4920	0.4570	0.4339	0.4934	0.2419	0.5020	0.4963
 0.00	0.00001	    100	0.0000	0.0000	0.0001	0.0001	0.0003	0.0000	0.0000	0.0001	0.0002
 0.00	0.00050	    100	0.0007	0.0004	0.0000	0.0010	0.0009	0.0004	0.0000	0.0004	0.0008
 0.00	0.00100	    100	0.0011	0.0006	0.0009	0.0015	0.0018	0.0007	0.0000	0.0011	0.0009
 0.00	0.00500	    100	0.0051	0.0061	0.0053	0.0073	0.0083	0.0048	0.0020	0.0044	0.0048
 0.00	0.01000	    100	0.0089	0.0109	0.0091	0.0134	0.0135	0.0105	0.0053	0.0094	0.0099
 0.00	0.05000	    100	0.0516	0.0515	0.0499	0.0517	0.0534	0.0534	0.0223	0.0510	0.0481
 0.00	0.10000	    100	0.0973	0.0988	0.0965	0.1002	0.0983	0.1054	0.0497	0.0998	0.0976
 0.00	0.50000	    100	0.5039	0.4916	0.4847	0.4798	0.4659	0.4969	0.2462	0.4985	0.4945
 0.00	0.00001	   1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
 0.00	0.00050	   1000	0.0006	0.0002	0.0001	0.0002	0.0001	0.0001	0.0000	0.0001	0.0001
 0.00	0.00100	   1000	0.0012	0.0005	0.0005	0.0005	0.0005	0.0002	0.0001	0.0003	0.0002
 0.00	0.00500	   1000	0.0048	0.0034	0.0034	0.0041	0.0042	0.0038	0.0014	0.0037	0.0030
 0.00	0.01000	   1000	0.0100	0.0084	0.0072	0.0084	0.0082	0.0096	0.0034	0.0084	0.0083
 0.00	0.05000	   1000	0.0531	0.0488	0.0492	0.0466	0.0454	0.0518	0.0213	0.0474	0.0460
 0.00	0.10000	   1000	0.1053	0.1003	0.0910	0.0962	0.0886	0.1036	0.0490	0.0974	0.0967
 0.00	0.50000	   1000	0.5206	0.5021	0.4852	0.4986	0.4791	0.5046	0.2351	0.4993	0.4939
